fecha,BBAR,BMA,CEPU,CRESY,EDN,GGAL,IRS,LOMA,PAM,SUPV,TEO,TGS,TS,TX,YPF
2010-01-04,3.4,17.9,,9.8,8.2,4.3,4.5,,11.8,,7.9,1.4,29.3,18.5,35.9
2010-01-05,3.7,17.8,,10.2,8.2,4.5,4.7,,11.6,,8.0,1.5,30.0,18.7,35.3
2010-01-06,3.7,17.2,,10.3,8.4,4.2,4.6,,11.1,,7.9,1.5,30.1,18.6,36.0
2010-01-07,3.7,17.3,,10.5,8.5,4.4,4.6,,11.3,,7.9,1.5,30.2,18.5,35.7
2010-01-08,3.7,17.1,,10.3,8.2,4.3,4.6,,11.1,,7.9,1.5,30.2,18.6,36.1
2010-01-11,3.7,17.0,,10.3,7.6,4.1,4.5,,10.9,,7.9,1.5,30.4,18.4,36.7
2010-01-12,3.7,17.0,,10.0,7.6,3.9,4.4,,10.6,,7.8,1.4,29.6,17.6,36.9
2010-01-13,3.7,17.1,,10.0,7.8,4.0,4.3,,10.7,,7.9,1.4,31.2,18.2,35.8
2010-01-14,3.8,17.6,,10.1,8.1,4.2,4.3,,11.3,,7.8,1.4,31.4,18.8,36.2
2010-01-15,3.7,17.5,,10.1,7.8,4.1,4.3,,10.9,,7.8,1.4,31.0,18.5,35.8
2010-01-19,3.8,17.3,,10.0,8.0,4.2,4.4,,10.8,,7.8,1.4,31.3,18.6,35.6
2010-01-20,3.8,17.4,,9.8,7.7,4.1,4.5,,11.0,,7.6,1.4,30.6,18.4,34.6
2010-01-21,3.7,17.7,,9.2,7.7,4.0,4.4,,10.9,,7.4,1.4,30.3,17.7,35.6
2010-01-22,3.7,17.2,,8.9,7.5,4.0,4.2,,11.2,,7.3,1.4,29.8,16.9,35.0
2010-01-25,3.7,16.9,,8.4,7.5,4.0,4.3,,11.2,,7.4,1.3,30.0,16.3,33.8
2010-01-26,3.7,16.7,,8.4,7.6,3.9,4.3,,11.2,,7.3,1.4,29.2,15.7,33.7
2010-01-27,3.7,16.7,,8.3,7.5,3.9,4.3,,11.3,,7.1,1.4,29.5,15.3,33.6
2010-01-28,3.7,16.8,,8.2,7.5,3.9,4.4,,11.3,,7.1,1.4,28.9,15.3,33.4
2010-01-29,3.5,17.0,,7.9,7.5,3.9,4.3,,11.2,,7.3,1.4,29.1,14.8,33.6
2010-02-01,3.6,16.9,,7.9,7.7,4.0,4.3,,11.2,,7.4,1.4,29.4,15.9,33.9
2010-02-02,3.6,16.9,,8.2,7.2,4.0,4.3,,11.2,,7.6,1.4,30.2,16.1,33.7
2010-02-03,3.5,16.5,,8.1,7.6,3.9,4.3,,11.2,,7.3,1.3,29.9,15.8,33.8
